cytoband	13q14.3	14q21.2	22q13.32	10q21.2	8p23.2	16q23.3	8q24.22	10q23.31	22q13.1	8p12	4q34.3	10p12.31	8p22	7q34	21q21.1	18q21.33	2q22.1	15q25.3	13q12.3	5p15.2	20p12.1	19p13.12	1q42.13	2q37.3	19p13.2	2p23.1	7q22.3	5p13.1	9p21.3	17p13.1	Xq28	7p22.1	9q22.33	
																												SPINK7	SCAI	MED31	RHOXF1	TMEM243	SCAI	
																												SPZ1	C9orf117	TVP23B	NKAPP1	GCC1	C9orf117	
																												CARD6	C9orf47	GLOD4	MAGEB6	STEAP4	C9orf47	
																												HAVCR2	SPATA31E1	MRPS7	AWAT1	GAL3ST4	SPATA31E1	
																												PHYKPL	LCN12	YBX2	AWAT2	PRKRIP1	LCN12	
																												SMIM3	C9orf142	UTP18	ZDHHC15	MICALL2	C9orf142	
																												NKD2	TPRN	RNFT1	USP51	C7orf10	TPRN	
																												TSLP	TUSC1	HN1	H2BFWT	C7orf63	TUSC1	
																												FCHSD1	FAM78A	MYO15A	FAM122B	CBLL1	FAM78A	
																												UNC5A	OR13C9	TUBD1	FAM122C	ZNF767	OR13C9	
																												FAM105B	OR13D1	DCXR	DDX53	CPED1	OR13D1	
																												C5orf30	FOXD4L3	RAPGEFL1	FAM46D	TTC26	FOXD4L3	
																												ZNF622	IFNE	TACO1	FAM47B	FBXL18	IFNE	
																												LYRM7	ZDHHC21	ABI3	CXorf22	C7orf69	ZDHHC21	
																												TRIM41	GPR144	COPZ2	ZCCHC12	ORAI2	GPR144	
																												SLC25A46	QRFP	MRPL27	ARX	TTYH3	QRFP	
																												BOD1	OR1J1	PIPOX	XAGE3	UPK3B	OR1J1	
																												CDKN2AIPNL	OR1B1	AMZ2	XAGE5	EEPD1	OR1B1	
																												COL23A1	KIF24	ARL17A	NUDT10	JHDM1D	KIF24	
																												TIMD4	MURC	CRLF3	FAM9A	OR2AE1	MURC	
																												NDUFAF2	FOXD4L4	TRPV2	FAM9B	VOPP1	FOXD4L4	
																												ZNF300	GLT6D1	ANKFY1	FAM9C	WBSCR16	GLT6D1	
																												MYOZ3	ENHO	ANAPC11	CXorf61	TSC22D4	ENHO	
																												UBTD2	PTAR1	SIRT7	SLC25A43	TRIM56	PTAR1	
																												MRPS36	ERCC6L2	SLC25A39	ZCCHC5	ABHD11	ERCC6L2	
																												ATP6AP1L	SWI5	PTRH2	NRK	TMUB1	SWI5	
																												SCGB3A1	C9orf50	RASD1	DDX26B	CCM2	C9orf50	
																												PRDM6	PNPLA7	NLK	ZNF449	ZMIZ2	PNPLA7	
																												FTMT	C9orf169	LUC7L3	VMA21	CALN1	C9orf169	
																												SFXN1	ENTPD8	HIGD1B	TMEM31	ARMC10	ENTPD8	
																												FNIP1	SPATA31A6	CDK12	PAGE2	STARD3NL	SPATA31A6	
																												SNX18	SPATA31D1	INPP5K	DHRSX|ENSG00000169084.8	IMMP2L	SPATA31D1	
																												SLC35A4	C9orf153	KRT20	CTAG1A	CTTNBP2	C9orf153	
																												GPRIN1	IER5L	NLE1	BRWD3	RBM48	IER5L	
																												PWWP2A	C9orf171	FAM64A	CXorf58	ZNF394	C9orf171	
																												C1QTNF2	LCN15	SDK2	CT47A11	USP42	LCN15	
																												MARCH3	LRRC26	XAF1	CXorf23	GTF2IRD2	LRRC26	
																												FCHO2	TMEM8C	FNDC8	MAP7D2	FAM188B	TMEM8C	
																												RAB3C	FAM221B	C17orf59	KLHL34	SLC37A3	FAM221B	
																												LYSMD3	OR13J1	MBTD1	TAB3	PSMG3	OR13J1	
																												C5orf55	CTSL3P	BCAS3	SSX6	DNAJC30	CTSL3P	
																												SCGB3A2	OR13C2	TMEM104	SSX7	C7orf50	OR13C2	
																												SETD9	OR1L6	CWC25	SSX9	CARD11	OR1L6	
																												IL31RA	OR5C1	ALKBH5	RAB40AL	KRBA1	OR5C1	
																												EMB	OR1K1	RNF43	ATP11C	TNRC18	OR1K1	
																												SLCO6A1	LCN9	TTC19	LINC00632	FAM126A	LCN9	
																												C5orf47	FAM102A	MKS1	H2BFM	FAM71F1	FAM102A	
																												PPARGC1B	TOMM5	LINC00483	YIPF6	PLEKHA8	TOMM5	
																												MROH2B	FAM74A4	C17orf80	CHDC2	FAM220A	FAM74A4	
																												EGFLAM	C9orf170	CCDC40	FAM133A	SLC35B4	C9orf170	
																												PRRC1	C9orf152	EPN3	MAGEB18	TMEM209	C9orf152	
																												NADK2	SNX30	WIPI1	TMSB15B	TMEM60	SNX30	
																												UGT3A1	WDR38	SLC52A1	P2RY8|ENSG00000182162.5	SCIN	WDR38	
																												CAPSL	LCNL1	MED9	RGAG4	GTPBP10	LCNL1	
																												JMY	C9orf139	SLFN12	NHSL2	TRIM4	C9orf139	
																												ZNF474	FAM166A	WRAP53	PABPC1L2A	ZFAND2A	FAM166A	
																												OR2Y1	SOHLH1	KLHL11	KIAA2022	CCDC126	SOHLH1	
																												C5orf49	PPAPDC2	RNMTL1	BEX5	ZNF479	PPAPDC2	
																												POU5F2	ZBTB34	SMG8	TCEAL5	ADCK2	ZBTB34	
																												DNAJC21	MIRLET7A1	SLC47A1	VSIG1	PLXNA4	MIRLET7A1	
																												AFAP1L1	MIRLET7D	TMEM100	ZC3H12B	ZC3HAV1L	MIRLET7D	
																												GRPEL2	MIRLET7F1	VPS53	SATL1	MYL10	MIRLET7F1	
																												TMEM171	MIR147A	RHOT1	LHFPL1	CADPS2	MIR147A	
																												TMEM174	MIR181A2	RSAD1	CXorf67	CPA5	MIR181A2	
																												POC5	MIR181B2	COPRS	ZNF81	FOXP2	MIR181B2	
																												STARD4	MIR199B	LRRC59	ITIH6	H2AFV	MIR199B	
																												WDR36	MIR31	NPLOC4	LANCL3	CEP41	MIR31	
																												UBLCP1	ANKRD20A3	TSR1	SOWAHD	GLCCI1	ANKRD20A3	
																												ACOT12	ANKRD20A2	FAM222B	OR13H1	ZBED6CL	ANKRD20A2	
																												SOWAHA	NUTM2G	ADAP2	CCDC160	DTX2	NUTM2G	
																												SHROOM1	ANKRD18B	ST6GALNAC1	CXorf66	WBSCR22	ANKRD18B	
																												C5orf24	C9orf173	TEX2	DGAT2L6	TSGA13	C9orf173	
																												SREK1	NRARP	GSDMB	RAB41	GPR146	NRARP	
																												C5orf20	FOXB2	TEX14	ARSH	AGAP3	FOXB2	
																												SLC38A9	C9orf129	WDR45B	MAGEB5	C7orf13	C9orf129	
																												SLC36A2	FAM27A	DHX33	MAP3K15	OR9A4	FAM27A	
																												CREBRF	DNAJC25	CA10	SPACA5	WBSCR28	DNAJC25	
																												CEP120	SPATA31A2	NT5M	USP27X	TRIM50	SPATA31A2	
																												SLC25A48	SPATA31A4	ATXN7L3	PAGE2B	OR9A2	SPATA31A4	
																												TMEM167A	CBWD6	CCDC47	ZCCHC13	C7orf34	CBWD6	
																												MBLAC2	HRCT1	PLSCR3	UBE2NL	TMEM139	HRCT1	
																												TMEM161B	SPATA31A1	PLXDC1	ARL13A	NOBOX	SPATA31A1	
																												SRFBP1	FOXD4L6	LYZL6	SLC25A53	OR2A14	FOXD4L6	
																												ZMAT2	FOXD4L5	ZNF286A	XKRX	OR6B1	FOXD4L5	
																												MARVELD2	MSMP	MIF4GD	YY2	OR2F2	MSMP	
																												C5orf38	MIR600HG	INTS2	MIR106A	ZNF786	MIR600HG	
																												IRX2	MIR602	CASKIN2	MIR19B2	COL26A1	MIR602	
																												BTNL9	FAM27D1	RPTOR	MIR221	PRSS37	FAM27D1	
																												ARSK	RNF208	NUFIP2	MIR222	KLF14	RNF208	
																												FAM81B	SPATA31A3	ZNF624	MIR223	SSMEM1	SPATA31A3	
																												TTC23L	SPATA31A5	TAOK1	MIR92A2	C7orf57	SPATA31A5	
																												CCDC112	CBWD7	NLGN2	VCX3B	SVOPL	CBWD7	
																												FAM71B	CARD9	USP36	GLRA4	MTPN	CARD9	
																												PRELID2	FAM74A3	ARHGAP23	FAM127C	LRGUK	FAM74A3	
																												SH3RF2	CNTNAP3B	PHF12	CT45A3	ASB10	CNTNAP3B	
																												PLAC8L1	ANKRD20A4	ZBTB4	CT45A4	PRSS58	ANKRD20A4	
																												RNF145	FAM166B	RNF213	CT45A5	SRCRB4D	FAM166B	
																												MIER3	FOXD4L2	TNRC6C	SPANXN4	C7orf31	FOXD4L2	
																												CDC20B	MIR876	CXCL16	PGAM4	ASZ1	MIR876	
																												UGT3A2	MIR873	TRAPPC1	FAM47C	MUC17	MIR873	
																												PAPD4	C9orf92	PCTP	MIR325	RNF32	C9orf92	
																												DCP2	IZUMO3	SCPEP1	MIR374A	ASB15	IZUMO3	
																												NIM1	FAM27E3	ALOXE3	SPIN2B	RUNDC3B	FAM27E3	
																												LIX1	FAM27C	SLC25A19	H2AFB2	ABCA13	FAM27C	
																												ZNF366	FAM27B	ELAC2	H2AFB1	C7orf60	FAM27B	
																												FAM151B	MIR1299	FKBP10	SPANXN2	CLEC2L	MIR1299	
																												ADAMTS16	MIR3074	SRR	MIR503HG	C7orf55	MIR3074	
																												ADAMTS19	MIR3154	UBE2O	CT45A6	IQUB	MIR3154	
																												HIGD2A	MIR4291	HEATR6	CT45A1	KCTD7	MIR4291	
																												SPATA24	MIR4290	FN3K	CXorf40B	C7orf66	MIR4290	
																												DNAJC18	MIR4289	XYLT2	SSX4B	TMEM213	MIR4289	
																												FAM153B	CCDC180	NXN	MIR450A1	GIMAP8	CCDC180	
																												RANBP3L	MIR3689A	DNAI2	MIR363	CRYGN	MIR3689A	
																												CCDC125	MIR3911	TEKT3	MIR20B	ZNF425	MIR3911	
																												C5orf27	MIR3927	SPATA20	MIR18B	ZNF746	MIR3927	
																												CMYA5	MIR3689B	MRPL38	MIR450A2	ATP6V0E2	MIR3689B	
																												STK32A	MIR3689D1	UBE2Z	MIR503	AMZ1	MIR3689D1	
																												AQPEP	MIR4477A	WNK4	MIR513A1	WBSCR27	MIR4477A	
																												SLC36A1	MIR3689F	C17orf53	MIR513A2	VPS37D	MIR3689F	
																												RICTOR	MIR3960	MIS12	MIR506	RBM33	MIR3960	
																												RASGEF1C	MIR4665	GID4	MIR507	AGR3	MIR4665	
																												ANKRD31	MIR4475	ASPSCR1	MIR508	ZNF92	MIR4475	
																												SERINC5	MIR4674	METTL16	MIR510	GALNTL5	MIR4674	
																												EFCAB9	MIR4478	TMUB2	MIR514A1	ZNF679	MIR4478	
																												SH3PXD2B	MIR3689C	CARD14	MIR514A2	RNF133	MIR3689C	
																												FAM153A	MIR3689D2	DHX58	MIR514A3	THAP5	MIR3689D2	
																												KIAA0825	MIR4670	PHF23	ZNF674	CCDC71L	MIR4670	
																												RELL2	MIR3689E	MMP28	CT47B1	PKD1L1	MIR3689E	
																												C5orf51	MIR548AW	DHRS11	GAGE10	GIMAP7	MIR548AW	
																												SLC36A3		MFSD11	GAGE2B	ZNF467		
																												KIF4B		PRR15L	GAGE13	BHLHA15		
																												OR2V2		C17orf62	GAGE12G	BMPER		
																												C5orf64		ARMC7	MAGEB17	ZNF800		
																												RNF180		CHMP6	PABPC1L2B	GIMAP1		
																												SREK1IP1		RHBDF2	NAP1L6	C7orf33		
																												ZNF454		DHX40	XAGE1C	TMEM184A		
																												C5orf60		FN3KRP	XAGE1E	SAMD9L		
																												RGMB		OGFOD3	XAGE1A	C7orf62		
																												RFESD		ZNF750	XAGE1B	ZNF804B		
																												CHSY3		ACBD4	CT47A7	ZSCAN25		
																												SLC6A19		FAM57A	MIR545	FAM200A		
																												FAM170A		DCAKD	MIR542	VWDE		
																												ARSI		GGNBP2	MIR421	PRPS1L1		
																												ANKRD34B		NUP85	MIR651	TWISTNB		
																												PFN3		ATAD5	CXorf31	JAZF1		
																												PLCXD3		MRM1	SSX2B	PPP1R35		
																												IRGM		PLEKHH3	FAM156B	GPC2		
																												MCIDAS		FAM106A	CT47A10	BRAT1		
																												ACTBL2		DBF4B	CT47A9	SDK1		
																												FAM174A		MYO19	CT47A8	FOXK1		
																												CATSPER3		ACSF2	CT47A6	MMD2		
																												SLC6A18		C17orf70	CT47A5	DAGLB		
																												NIPAL4		CDK5RAP3	CT47A4	CCZ1B		
																												SLCO4C1		SP6	CT47A3	THSD7A		
																												DND1		COASY	CT47A2	TMED4		
																												C5orf34		SRCIN1	CT47A1	C7orf41		
																												MAST4		AARSD1	MAGED4	PRR15		
																												SIMC1		LIMD2	MAGEA9B	SRRM3		
																												C5orf48		KCNH6	NXF2B	KIAA1324L		
																												PROB1		FAM117A	OPN1MW2	LRWD1		
																												C5orf46		NDEL1	DMRTC1B	FBXL13		
																												ARHGEF37		VMP1	SPANXB1	NAPEPLD		
																												RGS7BP		ACKR6	CT45A2	ATXN7L1		
																												SPINK6		LRRC48	SPACA5B	CDHR3		
																												ANKHD1		EMC6	GAGE12J	TMEM130		
																												MIR143		RILP	GAGE2D	FERD3L		
																												MIR145		RAB34	GAGE12C	NYAP1		
																												MIR146A		TSPAN10	GAGE12B	SLC29A4		
																												LINC00461		GSG2	GAGE12E	RSPH10B		
																												SPINK14		MYCBPAP	GAGE12H	CCDC129		
																												FNDC9		QRICH2	GAGE2A	ZNRF2		
																												MARCH11		NSRP1	MIR767	SEMA3D		
																												C5orf56		PPP1R1B	GAGE12F	CNPY4		
																												IGIP		TBC1D3F	MIR450B	POLR2J2		
																												CTXN3		ZMYND15	MIR890	HEPACAM2		
																												SMIM15		CAMKK1	MIR891B	UBN2		
																												GRXCR2		RPAIN	MIR888	MBLAC1		
																												SPINK9		RNF135	MIR892B	TMEM196		
																												ZFP62		MIEN1	MIR374B	STEAP1B		
																												CCNI2		MRPL45	MIR891A	SUN3		
																												CBY3		VPS25	MIR892A	FAM133B		
																												FAM153C		LSMD1	LINC00892	TAS2R39		
																												MIR580		TMEM101	CXorf28	TAS2R40		
																												MIR583		PRAC	HSFX2	TAS2R41		
																												GTF2H2C		RAB11FIP4	CXorf64	NSUN5P2		
																												SERF1B		NEURL4	ARMCX4	STEAP2		
																												ANKDD1B		GHDC	GAGE12D	POM121L12		
																												CCDC152		ZNF594	SMIM9	CNPY1		
																												LRRC70		KIF2B	SPANXB2	LINC00174		
																												FAM196B		HES7	CMC4	C7orf71		
																												FAM159B		PPP1R9B	PNMA6C	SPDYE1		
																												C5orf52		SPATA22	MIR513C	FAM115C		
																												MIR1303		CBX2	MIR1468	ZNF775		
																												TICAM2		TXNDC17	MIR1912	ATG9B		
																												MIR2277		FAM104A	MIR1298	ZNF789		
																												MIR4279		CORO6	MIR320D2	LSMEM1		
																												MIR4280		TNS4	MIR548I4	TAS2R60		
																												MIR3141		FBXL20	MIR548M	BLACE		
																												MIR4277		FBF1	MIR718	ZNF680		
																												MTRNR2L2		UNK	MIR513B	COL28A1		
																												MIR3650		SSH2	MIR764	ABCB5		
																												MIR3660		TP53I13	MIR2114	FAM221A		
																												MIR3912		IFT20	MIR514B	FAM183B		
																												MIR3936		LRRC46	MIR4330	CTAGE6		
																												MIR3661		SCRN2	MTRNR2L10	AGBL3		
																												OCLN		CEP95	MIR3937	SEPT14		
																												MIR4458		TRIM47	MIR3672	MACC1		
																												MIR4634		ANKRD40	HSFX1	OR6V1		
																												MIR4457		ZNF830	MIR4769	OR2A12		
																												MIR378H		SLFN11	MIR1587	OR2A1		
																												MIR4460		RASL10B	MIR548AJ2	GNAT3		
																												MIR548AE2		ATPAF2	MIR4770	MOGAT3		
																												MIR4638		TMEM88	MIR4767	FAM71F2		
																												MIR4456		STRADA	TCP11X2	STRA8		
																												MIR5197		C17orf72		WDR86		
																												MIR5692C1		SPECC1		GJC3		
																														G6PC3		DPY19L2P2		
																														ASB16		GATS		
																														OTOP2		GPR141		
																														PGAP3		FKBP9L		
																														MYOCD		GSTK1		
																														PIGS		TRIM73		
																														TTYH2		NAT16		
																														HSPB9		SLC26A5		
																														ORMDL3		TRIM74		
																														SAT2		RNF148		
																														PLCD3		NPSR1		
																														SLC46A1		NUPR1L		
																														TMEM106A		GTF2IRD2B		
																														LRRC37B		LAMTOR4		
																														CYGB		FEZF1		
																														RNF157		FAM180A		
																														SMYD4		OR2A25		
																														OSBPL7		AGMO		
																														C1QTNF1		OR2A5		
																														NT5C3B		RPL13AP17		
																														ABHD15		C7orf65		
																														TLCD1		LRRD1		
																														PPP1R27		C7orf76		
																														CNTROB		PRRT4		
																														FTSJ3		RAB19		
																														RFFL		OR2A7		
																														METTL23		OR2A42		
																														HSF5		KPNA7		
																														OR4D2		C7orf61		
																														MSI2		UFSP1		
																														SLC38A10		MIR148A		
																														CANT1		MIR182		
																														USH1G		MIR183		
																														CD300LB		MIR96		
																														KIF19		ZNF716		
																														ZPBP2		TYW1B		
																														CYB5D1		SPDYE3		
																														OVCA2		SPDYE2		
																														USP43		AKR1B15		
																														KRBA2		CTAGE15		
																														C17orf64		OR2A2		
																														SPATA32		STAG3L3		
																														HEXIM2		LMOD2		
																														LSM12		MIR196B		
																														CCDC43		ARHGEF35		
																														TMEM132E		GIMAP6		
																														WFIKKN2		WEE2		
																														B4GALNT2		POLR2J3		
																														SPACA3		MIR490		
																														SEZ6		ZNF862		
																														ANKRD13B		WIPF3		
																														SLC43A2		NCF1		
																														CYB5D2		ACTR3C		
																														C17orf49		OCM		
																														ZFP3		MIR550A2		
																														GGT6		RSPH10B2		
																														EFCAB13		TMEM229A		
																														MRPL10		POM121C		
																														WDR81		CTAGE4		
																														TBC1D16		EFCAB10		
																														AFMID		UPK3BL		
																														KRT40		CTAGE8		
																														ZSWIM7		RASA4B		
																														SMCR7		SMKR1		
																														SLC5A10		ZNF783		
																														MGAT5B		SPDYE2B		
																														TOM1L2		ANKRD61		
																														ENTHD2		MIR548O		
																														B3GNTL1		MIR548F4		
																														RBFOX3		MIR3147		
																														CD300LF		MIR4284		
																														C17orf77		MTRNR2L6		
																														DNAH2		MIR3683		
																														RTN4RL1		LRRC72		
																														EFCAB3		TMEM178B		
																														SLC47A2		MIR4652		
																														WDR16		MIR4468		
																														CCDC42		MIR4651		
																														PIK3R6		MIR550A3		
																														ODF4		MIR4657		
																														C17orf50		MIR4656		
																														SLFN13		MIR5692C2		
																														SLC35G3		MIR5707		
																														UNC45B		MIR5692A1		
																														CD300LG				
																														KIF18B				
																														RUNDC1				
																														EME1				
																														PROCA1				
																														DHRS13				
																														KCTD11				
																														NOTUM				
																														TMC8				
																														TRIM16L				
																														WIPF2				
																														KRT25				
																														TMEM99				
																														ANKFN1				
																														MARCH10				
																														MFSD6L				
																														NAGS				
																														FAM134C				
																														TMEM92				
																														PHOSPHO1				
																														RHBDL3				
																														TRPV3				
																														SLC16A11				
																														FBXO39				
																														SPPL2C				
																														KRT28				
																														KRT24				
																														CEP112				
																														DHRS7C				
																														TVP23C				
																														CENPV				
																														FLCN				
																														PLD6				
																														ARHGAP27				
																														SAMD14				
																														LYRM9				
																														SLC16A13				
																														C17orf74				
																														STRA13				
																														LRRC45				
																														SLC39A11				
																														AMZ2P1				
																														TRIM65				
																														UNC13D				
																														RDM1				
																														SPNS3				
																														USP32P2				
																														GAS2L2				
																														STH				
																														STXBP4				
																														TMEM256				
																														TAC4				
																														MYADML2				
																														BCL6B				
																														CDRT15L2				
																														C17orf103				
																														NPB				
																														C17orf66				
																														FADS6				
																														HID1				
																														TSEN54				
																														UBALD2				
																														TMEM235				
																														CCDC57				
																														HEXDC				
																														VMO1				
																														C17orf58				
																														MILR1				
																														LINC00324				
																														LINC00670				
																														CDRT4				
																														CCDC144B				
																														KANSL1				
																														FAM171A2				
																														C17orf104				
																														TTLL6				
																														C17orf47				
																														KRT18P55				
																														PIGW				
																														C17orf78				
																														GSDMA				
																														SLC13A5				
																														TMEM102				
																														PTRF				
																														FAM27L				
																														SLC26A11				
																														ENDOV				
																														GDPD1				
																														C17orf89				
																														TMEM105				
																														LGALS9B				
																														METRNL				
																														TUSC5				
																														KLHL10				
																														RAB37				
																														TMEM95				
																														METTL2A				
																														CCDC144NL				
																														C17orf67				
																														ENPP7				
																														OXLD1				
																														CCDC137				
																														ARL16				
																														C17orf51				
																														MSL1				
																														CD300E				
																														SMTNL2				
																														NACA2				
																														KRT27				
																														SLFN14				
																														LRRC37A11P				
																														STAC2				
																														OTOP3				
																														SKA2				
																														FAM195B				
																														GPR142				
																														TBC1D26				
																														ZACN				
																														KRT26				
																														FAM101B				
																														CDRT1				
																														SPEM1				
																														EFCAB5				
																														LRRC37A3				
																														GLTPD2				
																														INCA1				
																														SCIMP				
																														SPDYE4				
																														TMEM220				
																														SHISA6				
																														FAM211A				
																														TMIGD1				
																														C17orf98				
																														LINC00671				
																														RPRML				
																														YPEL2				
																														C17orf82				
																														BTBD17				
																														OR3A4P				
																														KRT39				
																														SLC25A35				
																														MYO18A				
																														C17orf97				
																														MED11				
																														C17orf102				
																														TEX19				
																														CUEDC1				
																														MIR10A				
																														MIR132				
																														MIR142				
																														MIR193A				
																														MIR196A1				
																														MIR21				
																														MIR212				
																														MIR22HG				
																														TNFSF12				
																														TBC1D3B				
																														TBC1D3C				
																														CCL3L3				
																														MXRA7				
																														RNASEK				
																														GPR179				
																														MIR324				
																														LRRC37A2				
																														FBXO47				
																														MIR497HG				
																														CPSF4L				
																														SMIM5				
																														RNF222				
																														PIRT				
																														EVPLL				
																														TBC1D3G				
																														LGALS9C				
																														NME2				
																														MIR632				
																														MIR633				
																														TBC1D3				
																														TBC1D3H				
																														MIR365B				
																														C17orf107				
																														SMIM6				
																														TEN1				
																														C17orf99				
																														C17orf96				
																														MIR2117				
																														MIR4316				
																														MIR338				
																														MIR3186				
																														MIR3185				
																														MIR4314				
																														MTRNR2L1				
																														MIR3614				
																														MIR3678				
																														MIR3615				
																														LRRC3C				
																														ARL17B				
																														C17orf112				
																														MIR4523				
																														MIR4739				
																														MIR4734				
																														MIR4737				
																														MIR4736				
																														MIR4724				
																														MIR4733				
																														MIR4522				
																														MIR4738				
																														MIR4740				
																														MIR4732				
																														MIR4520B				
																														MIR4727				
																														MIR4725				
																														MIR1269B				
																														MIR4524B				
																														MIR5089				
																														PTGES3L				
